code	name	description	field_codes	keywords	cs2023_ka_mapping	metadata
CS_ARCHITECTURE	Computer Architecture & Organization	Nghiên cứu về thiết kế và tổ chức của các thành phần phần cứng máy tính, bao gồm CPU, hệ thống phân cấp bộ nhớ, và cách chúng tương tác để thực thi các chỉ lệnh.	CSN	CPU, memory hierarchy, digital logic, hardware	AR	{"icon": "microchip"}
OPERATING_SYSTEMS	Operating Systems	Khám phá các nguyên tắc cốt lõi của hệ điều hành, bao gồm quản lý tiến trình, bộ nhớ, hệ thống tệp và cách HĐH cung cấp một lớp trừu tượng giữa phần cứng và ứng dụng.	CSN	OS, process management, virtual memory, concurrency	OS	{"icon": "cogs"}
PHYSICAL_COMPUTING	Physical Computing and Robotics	Tập trung vào việc lập trình các hệ thống tương tác với thế giới vật lý thông qua cảm biến, cơ cấu chấp hành và vi điều khiển, làm nền tảng cho Robotics và các thiết bị nhúng.	CSN, MET	robotics, Arduino, sensors, embedded systems	SPD	{"icon": "robot"}
NETWORKING	Networking and Communication	Bao gồm các nguyên tắc về mạng máy tính, mô hình phân lớp, các giao thức truyền thông và kiến trúc của Internet, đảm bảo việc truyền dữ liệu một cách đáng tin cậy.	CSN	protocols, TCP/IP, routing, Internet	NC	{"icon": "network-wired"}
COMP_THINKING	Computational Thinking & Algorithms	Tập trung vào tư duy giải quyết vấn đề có cấu trúc, thiết kế và phân tích hiệu quả của thuật toán. Đây là nền tảng lý thuyết cho mọi lĩnh vực lập trình và khoa học máy tính.	ASE	problem solving, algorithms, Big O, data structures	AL	{"icon": "lightbulb"}
COMP_MATH	Computational Mathematics	Cung cấp các nền tảng toán học thiết yếu cho khoa học máy tính, bao gồm logic, lý thuyết tập hợp, đồ thị, xác suất và thống kê, làm cơ sở cho thuật toán, AI và phân tích dữ liệu.	ASE, DAI	discrete math, logic, probability, statistics	MSF	{"icon": "calculator"}
PROG_FUNDAMENTALS	Programming Fundamentals	Bao gồm các khái niệm và kỹ năng lập trình cốt lõi, từ biến, kiểu dữ liệu, luồng điều khiển, đến hàm và các cấu trúc dữ liệu cơ bản, giúp xây dựng nền tảng vững chắc cho mọi lập trình viên.	ASE	programming, coding, variables, control flow, functions	SDF	{"icon": "file-code"}
SW_PARADIGMS	Software Paradigms and Design	Khám phá các mô hình lập trình khác nhau (Hướng đối tượng, Hàm, Sự kiện) và các nguyên tắc thiết kế phần mềm, giúp lựa chọn phương pháp tiếp cận phù hợp để xây dựng các hệ thống phức tạp.	ASE	OOP, functional programming, design patterns, architecture	FPL	{"icon": "project-diagram"}
SW_LIFECYCLE	Software Development Lifecycle	Bao quát toàn bộ quy trình kỹ thuật phần mềm, từ thu thập yêu cầu, thiết kế, phát triển, đến kiểm thử, triển khai và bảo trì, nhấn mạnh các phương pháp Agile và DevOps.	ASE	software engineering, Agile, Scrum, testing, version control	SE	{"icon": "tasks"}
WEB_DEV	Web Development	Bao gồm các công nghệ, kiến trúc và kỹ thuật để xây dựng các ứng dụng web hiện đại và tương tác, từ giao diện người dùng (frontend) đến logic máy chủ (backend).	ASE, HCC	HTML, CSS, JavaScript, backend, frontend, API	SPD	{"icon": "globe"}
DATA_REP	Data Representation	Nghiên cứu cách thông tin được mã hóa, biểu diễn và lưu trữ ở mức độ bit và byte bên trong máy tính, bao gồm hệ đếm, mã hóa ký tự và các kỹ thuật nén.	DAI	binary, encoding, compression, bits, bytes	AR, AL	{"icon": "ruler-combined"}
DATA_MGMT	Data Management Systems	Tập trung vào việc thiết kế, sử dụng và quản lý các hệ thống cơ sở dữ liệu (SQL và NoSQL) để lưu trữ, truy vấn và duy trì tính toàn vẹn của dữ liệu có cấu trúc và bán cấu trúc.	DAI	database, SQL, NoSQL, data modeling, transactions	DM	{"icon": "server"}
DATA_ANALYSIS	Data Analysis and Visualization	Bao gồm các phương pháp và công cụ để thu thập, làm sạch, phân tích thống kê và trực quan hóa dữ liệu nhằm khám phá các mẫu, xu hướng và rút ra tri thức có giá trị.	DAI	data science, statistics, visualization, data cleaning, EDA	MSF, GIT	{"icon": "chart-bar"}
DISTRIBUTED_SYSTEMS	Distributed Systems and Cloud	Bao gồm các nguyên tắc về thiết kế và triển khai các hệ thống hoạt động trên nhiều máy tính, bao gồm điện toán đám mây, xử lý dữ liệu lớn và các thuật toán đồng thuận.	MET, CSN	cloud computing, distributed, parallel, big data	PDC	{"icon": "cloud"}
AI_ML	Artificial Intelligence & Machine Learning	Bao gồm các khái niệm, thuật toán và ứng dụng của trí tuệ nhân tạo, đặc biệt là học máy, cho phép máy tính học hỏi từ dữ liệu để thực hiện các nhiệm vụ thông minh.	MET	AI, machine learning, neural networks, deep learning	AI	{"icon": "brain-circuit"}
IOT	Internet of Things (IoT)	Tập trung vào hệ sinh thái của các thiết bị vật lý được kết nối mạng, từ cảm biến, vi điều khiển đến các giao thức truyền thông và nền tảng đám mây để thu thập và xử lý dữ liệu.	MET, CSN	IoT, sensors, embedded, MQTT	SPD, NC	{"icon": "wifi"}
GRAPHICS_VISUAL_COMPUTING	Graphics and Visual Computing	Bao gồm các kỹ thuật tạo, thao tác và hiển thị hình ảnh kỹ thuật số, từ đồ họa 2D/3D, hoạt hình, đến mô phỏng và thực tế ảo/tăng cường (VR/AR).	MET	graphics, rendering, animation, simulation, VR, AR	GIT	{"icon": "vr-cardboard"}
HCI	Human-Computer Interaction	Nghiên cứu về sự tương tác giữa con người và hệ thống máy tính. Lĩnh vực này tập trung vào các mô hình nhận thức, thiết bị và các nguyên tắc để tạo ra sự tương tác hiệu quả và tự nhiên.	HCC	HCI, interaction, usability, cognition	HCI	{"icon": "mouse-pointer"}
UI_UX_DESIGN	UI/UX Design and Accessibility	Tập trung vào quy trình thiết kế giao diện (UI) và trải nghiệm người dùng (UX) cho các sản phẩm số, đảm bảo tính thẩm mỹ, khả dụng và khả năng tiếp cận cho mọi người.	HCC, ASE	UI, UX, design, prototyping, accessibility	HCI, SEP	{"icon": "palette"}
DIGITAL_LITERACY	Digital Literacy and Collaboration	Bao gồm các kỹ năng sử dụng thành thạo và hiệu quả các công cụ kỹ thuật số để giao tiếp, cộng tác, quản lý thông tin và giải quyết vấn đề trong môi trường làm việc hiện đại.	IDC	collaboration, productivity tools, communication, netiquette	SEP	{"icon": "tools"}
DIGITAL_CITIZENSHIP	Digital Citizenship and Ethics	Bao gồm các quy tắc ứng xử, đạo đức, an toàn và trách nhiệm của một công dân trong xã hội số, nhấn mạnh đến quyền riêng tư, an ninh thông tin và tác động xã hội của công nghệ.	IDC	ethics, privacy, security, societal impact	SEP	{"icon": "user-shield"}
NATIVE_APP_DEV	Native App Development	Bao gồm các công nghệ, kiến trúc và kỹ thuật để xây dựng các ứng dụng chạy trực tiếp trên hệ điều hành của một nền tảng cụ thể (iOS, Android, macOS), tận dụng tối đa các API và trải nghiệm người dùng gốc.	ASE, HCC	native, mobile development, iOS, Android, SwiftUI, UIKit, Jetpack Compose	SPD, HCI	{"icon": "mobile-alt"}