code	name	description	field_codes	keywords	cs2023_ka_mapping	metadata
UI_UX_DESIGN	UI/UX Design and Accessibility	Tập trung vào quy trình thiết kế giao diện (UI) và trải nghiệm người dùng (UX) cho các sản phẩm số, đảm bảo tính thẩm mỹ, khả dụng và khả năng tiếp cận cho mọi người.	HCC, ASE	UI, UX, design, prototyping, accessibility	HCI, SEP	"{""icon"": ""palette""}"
DIGITAL_CITIZENSHIP	Digital Citizenship and Ethics	Bao gồm các quy tắc ứng xử, đạo đức, an toàn và trách nhiệm của một công dân trong xã hội số, nhấn mạnh đến quyền riêng tư, an ninh thông tin và tác động xã hội của công nghệ.	IDC	ethics, privacy, security, societal impact	SEP	"{""icon"": ""user-shield""}"
PROG_FUNDAMENTALS	Programming Fundamentals	Bao gồm các khái niệm và kỹ năng lập trình cốt lõi, từ biến, kiểu dữ liệu, luồng điều khiển, đến hàm và các cấu trúc dữ liệu cơ bản, giúp xây dựng nền tảng vững chắc cho mọi lập trình viên.	ASE	programming, coding, variables, control flow, functions	SDF	"{""icon"": ""file-code""}"
CS_ARCHITECTURE	Computer Architecture & Organization	Nghiên cứu về thiết kế và tổ chức của các thành phần phần cứng máy tính, bao gồm CPU, hệ thống phân cấp bộ nhớ, và cách chúng tương tác để thực thi các chỉ lệnh.	CSN	CPU, memory hierarchy, digital logic, hardware	AR	"{""icon"": ""microchip""}"
SW_LIFECYCLE	Software Development Lifecycle	Bao quát toàn bộ quy trình kỹ thuật phần mềm, từ thu thập yêu cầu, thiết kế, phát triển, đến kiểm thử, triển khai và bảo trì, nhấn mạnh các phương pháp Agile và DevOps.	ASE	software engineering, Agile, Scrum, testing, version control	SE	"{""icon"": ""tasks""}"
WEB_DEV	Web Development	Bao gồm các công nghệ, kiến trúc và kỹ thuật để xây dựng các ứng dụng web hiện đại và tương tác, từ giao diện người dùng (frontend) đến logic máy chủ (backend).	ASE, HCC	HTML, CSS, JavaScript, backend, frontend, API	SPD	"{""icon"": ""globe""}"
NATIVE_APP_DEV	Native App Development	Bao gồm các công nghệ, kiến trúc và kỹ thuật để xây dựng các ứng dụng chạy trực tiếp trên hệ điều hành của một nền tảng cụ thể (iOS, Android, macOS), tận dụng tối đa các API và trải nghiệm người dùng gốc.	ASE, HCC	native, mobile development, iOS, Android, SwiftUI, UIKit, Jetpack Compose	SPD, HCI	"{""icon"": ""mobile-alt""}"
SW_PARADIGMS	Software Paradigms and Design	Khám phá các mô hình lập trình khác nhau (Hướng đối tượng, Hàm, Sự kiện) và các nguyên tắc thiết kế phần mềm, giúp lựa chọn phương pháp tiếp cận phù hợp để xây dựng các hệ thống phức tạp.	ASE	OOP, functional programming, design patterns, architecture	FPL	"{""icon"": ""project-diagram""}"
HCI	Human-Computer Interaction	Nghiên cứu về sự tương tác giữa con người và hệ thống máy tính. Lĩnh vực này tập trung vào các mô hình nhận thức, thiết bị và các nguyên tắc để tạo ra sự tương tác hiệu quả và tự nhiên.	HCC	HCI, interaction, usability, cognition	HCI	"{""icon"": ""mouse-pointer""}"
